player_name,posteam,defteam,line,is_home
G.Smith,LV,TEN,228.5,1
J.Hurts,PHI,NYG,196.5,0
B.Nix,DEN,NYJ,223.5,0
J.Fields,NYJ,DEN,197.5,1
A.Rodgers,PIT,CLE,206.5,1
M.Stafford,LA,BAL,262.5,0
J.Love,GB,CIN,234.5,1
J.Allen,BUF,ATL,233.5,0
J.Herbert,LAC,MIA,248.5,0
T.Tagovailoa,MIA,LAC,220.5,1
P.Mahomes,KC,DET,259.5,1
J.Goff,DET,KC,235.5,0
S.Rattler,NO,NE,220.5,1
B.Young,CAR,DAL,223.5,1
D.Maye,NE,NO,235.5,0
D.Jones,IND,ARI,234.5,1
J.Daniels,WAS,CHI,216.5,1
M.Jones,SF,TB,246.5,0
B.Mayfield,TB,SF,240.5,0
C.Williams,CHI,WAS,235.5,0
S.Darnold,SEA,JAX,237.5,0
T.Lawrence,JAX,SEA,228.5,1
D.Prescott,DAL,CAR,245.5,0
J.Flacco,CIN,GB,206.5,0
